id,name,unit_price
pickles,1.18
carrots,2.81
melon,1.42
cheddar,8.12
mushrooms,1.92
cheese,4.65
pasta,5.00
cilantro,5.02
burritos,7.30
gum,1.90
filters,8.93
peppers,7.01
oil,9.61
lobster,1.86
bread,3.37
yoghurt,7.07
tofu,4.69
peaches,9.28
provolone,4.54
yeast,1.32
potatoes,2.71
parsley,3.72
tortillas,3.32
bananas,4.99
apples,8.26
bread,8.78
zucchini,5.31
ham,1.33
lemon,2.96
sugar,9.66
shrimp,4.56
donuts,4.35
mushrooms,7.09
vinegar,2.23
tortillas,9.65
peppers,5.16
apples,3.25
syrup,2.11
muffins,6.13
champagne,3.12
pears,5.77
pears,1.79
vinegar,4.47
potatoes,4.35
cauliflower,3.60
nectarines,8.00
sugar,8.02
onions,8.21
sugar,2.77
rum,8.99
crab,2.81
ginger,5.62
sugar,5.67
mayonnaise,7.55
broth,1.80
tea,5.50
chicken,9.57
tomatoes,9.37
rice,5.40
champagne,9.30
ketchup,3.55
grapefruit,4.48
tea,1.82
cilantro,6.11
bread,4.36
chicken,8.49
beer,7.68
mint,9.17
peaches,9.77
celery,2.57
beans,7.60
cinnamon,9.37
burritos,8.95
plums,5.39
donuts,3.66
pasta,2.85
oysters,1.07
cinnamon,2.60
ketchup,2.95
coffee,4.08
tortillas,9.20
jam,3.82
mussels,5.71
oregano,3.28
bananas,4.10
cheddar,9.40
tuna,8.80
turkey,4.22
milk,5.37
bananas,9.63
squash,8.42
cucumber,7.82
salmon,6.91
champagne,1.64
tofu,1.51
peppers,8.83
lemon,8.81
turkey,7.81
broth,9.84
shrimp,5.46
tomatoes,7.92
asparagus,4.44
salt,9.47
oregano,4.22
chips,3.20
broth,7.00
rum,5.60
gin,1.08
bread,2.46
oil,7.74
sugar,1.92
oil,3.20
bacon,8.21
potatoes,5.34
feta,2.35
ham,5.47
beef,6.16
cheddar,7.81
grapes,4.67
syrup,6.24
relish,2.86
mussels,3.05
lemon,9.20
feta,7.35
vinegar,9.00
mussels,8.94
cauliflower,4.75
oranges,5.38
mushrooms,7.94
relish,6.37
candy,1.14
beans,4.75
feta,8.86
oranges,3.74
bagels,9.94
muffins,8.52
oatmeal,4.76
mussels,4.93
feta,3.10
cookies,5.67
turkey,8.32
vinegar,8.92
feta,9.30
shortening,6.42
grapes,1.88
cinnamon,6.60
cherries,9.00
hummus,2.88
melon,7.24
olives,8.08
crackers,1.04
parsley,5.68
tuna,7.92
spinach,7.94
mint,2.55
syrup,8.98
ketchup,7.62
chips,7.76
mint,3.20
peaches,2.21
crackers,1.80
cauliflower,1.87
crackers,6.95
donuts,4.29
turkey,2.57
provolone,5.45
zucchini,7.90
peaches,6.70
oregano,1.20
turkey,2.47
salt,7.58
crackers,7.14
tuna,1.65
peaches,9.94
parmesan,7.37
butter,7.24
sugar,5.85
sorbet,1.61
gum,5.04
pizza,3.77
sorbet,4.32
burritos,9.14
chicken,6.32
shortening,6.04
catfish,8.14
beer,6.68
applesauce,7.32
muffins,4.72
broccoli,6.91
peaches,8.19
lime,9.84
bagels,8.09
pickles,2.69
cherries,3.41
lime,1.82
bananas,3.90
candy,5.95
peppers,4.55
celery,7.33
grapefruit,6.09
